cantidad,fechas
1,19970901
2,19970908
6,19970909
1,19970915
7,19970919
4,19970923
3,19971013
6,19971020
3,19971029
1,19971125
1,19971201
3,19971202
1,19971203
2,19971205
4,19971218
3,19971222
3,19980107
1,19980113
1,19980114
1,19980115
17,19980116
1,19980119
1,19980123
3,19980203
6,19980211
3,19980223
6,19980311
3,19980318
1,19980323
1,19980325
5,19980331
3,19980406
11,19980407
1,19980414
3,19980422
5,19980423
4,19980506
1,19980511
1,19980515
4,19980519
13,19980529
2,19980611
5,19980617
5,19980619
4,19980703
3,19980710
1,19980713
3,19980720
9,19980721
2,19980723
7,19980728
1,19980805
1,19980811
1,19980812
5,19980814
3,19980916
5,19980918
5,19981016
5,19981023
3,19981026
5,19981103
1,19981110
10,19981113
3,19981123
4,19981201
11,19981203
5,19981204
6,19981207
6,19981217
5,19981221
1,19981230
1,19990108
1,19990112
5,19990115
4,19990125
1,19990129
2,19990209
1,19990211
4,19990212
2,19990216
5,19990217
12,19990301
4,19990303
3,19990304
7,19990305
5,19990311
5,19990318
5,19990322
2,19990324
2,19990326
8,19990406
3,19990407
3,19990409
3,19990413
5,19990420
4,19990426
1,19990507
3,19990512
5,19990514
3,19990517
5,19990519
5,19990520
3,19990526
1,19990528
1,19990608
3,19990609
1,19990611
3,19990615
2,19990618
5,19990622
3,19990702
11,19990716
5,19990719
3,19990726
5,19990728
4,19990802
6,19990810
1,19990811
3,19990812
5,19990813
7,19990818
1,19990820
10,19990825
5,19990902
3,19990909
5,19990917
2,19990923
6,19990924
1,19991005
5,19991014
3,19991018
2,19991020
4,19991022
1,19991029
5,19991104
1,19991105
6,19991111
5,19991112
1,19991116
3,19991130
4,19991203
3,19991209
3,19991210
2,19991217
4,19991220
5,19991221
8,19991222
5,19991229
4,19991230
1,20000103
3,20000105
2,20000110
1,20000113
5,20000114
1,20000119
4,20000126
5,20000131
3,20000202
7,20000211
5,20000215
5,20000216
4,20000222
1,20000225
2,20000306
1,20000310
1,20000315
3,20000317
1,20000321
4,20000322
2,20000329
4,20000330
1,20000331
1,20000424
4,20000428
1,20000509
3,20000524
3,20000530
2,20000606
4,20000614
3,20000616
4,20000622
2,20000705
5,20000714
4,20000721
8,20000731
2,20000803
1,20000825
1,20000829
3,20000830
4,20000911
2,20000913
1,20000915
16,20000919
7,20000920
6,20001003
1,20001027
2,20001102
5,20001110
1,20001121
10,20001130
6,20001201
1,20001227
2,20010104
1,20010105
3,20010110
3,20010112
3,20010131
2,20010212
3,20010222
10,20010301
1,20010302
3,20010319
4,20010330
1,20010403
4,20010406
1,20010416
3,20010418
5,20010419
1,20010424
6,20010427
1,20010430
4,20010515
1,20010516
5,20010521
7,20010530
16,20010604
1,20010606
1,20010612
1,20010614
4,20010615
16,20010629
1,20010703
6,20010718
10,20010719
4,20010724
5,20010726
1,20010801
5,20010807
1,20010809
14,20010810
5,20010813
11,20010824
6,20010828
1,20010829
4,20010911
4,20010918
5,20011004
2,20011011
18,20011012
1,20011016
2,20011017
2,20011022
1,20011023
1,20011031
3,20011102
5,20011106
2,20011112
1,20011114
7,20011119
1,20011123
1,20011127
32,20011129
3,20011130
2,20011204
4,20011206
5,20011218
9,20011220
3,20011221
1,20011231
4,20020108
5,20020110
2,20020122
6,20020201
1,20020207
5,20020211
1,20020213
5,20020214
1,20020215
5,20020220
3,20020222
1,20020301
3,20020308
12,20020313
1,20020408
1,20020411
2,20020412
1,20020416
3,20020417
5,20020422
5,20020423
2,20020424
1,20020430
1,20020503
2,20020513
1,20020514
1,20020515
2,20020516
1,20020517
2,20020523
1,20020528
5,20020530
2,20020531
20,20020601
1,20020610
1,20020611
11,20020613
18,20020618
1,20020619
1,20020621
1,20020625
2,20020626
1,20020628
2,20020702
1,20020708
1,20020711
2,20020712
18,20020717
1,20020719
2,20020722
3,20020726
1,20020731
1,20020802
1,20020806
4,20020814
4,20020815
3,20020822
2,20020823
6,20020828
2,20020903
1,20020906
3,20020910
1,20020912
1,20020913
10,20020917
2,20020919
2,20020920
1,20020923
17,20020924
2,20020927
1,20021001
3,20021002
1,20021004
8,20021009
3,20021015
2,20021022
8,20021028
6,20021029
3,20021112
2,20021120
1,20021121
30,20021122
1,20021126
1,20021210
5,20021216
10,20021219
4,20021220
4,20021226
1,20030110
1,20030128
1,20030130
1,20030207
3,20030211
1,20030214
2,20030219
1,20030225
7,20030313
1,20030314
1,20030321
3,20030401
3,20030404
6,20030407
4,20030410
3,20030411
4,20030416
5,20030424
3,20030425
1,20030508
2,20030509
1,20030512
5,20030515
3,20030520
9,20030521
1,20030523
1,20030529
2,20030605
3,20030612
2,20030613
3,20030623
2,20030702
1,20030707
2,20030714
3,20030722
2,20030730
1,20030731
2,20030801
3,20030807
1,20030902
1,20030908
1,20030912
2,20030917
1,20031020
1,20031022
1,20031105
5,20031113
3,20031117
8,20031126
2,20031201
7,20031222
1,20040102
1,20040112
1,20040113
2,20040126
1,20040210
1,20040213
1,20040216
2,20040224
1,20040323
2,20040324
3,20040429
15,20040604
1,20040609
1,20040622
1,20040629
1,20040708
1,20040802
1,20040930
2,20041007
2,20041012
1,20041014
1,20041209
1,20041210
1,20041213
2,20041216
6,20041224
1,20050106
2,20050211
1,20050315
1,20050322
5,20050331
1,20050401
19,20050420
4,20050427
1,20050601
2,20050602
1,20050603
1,20050622
2,20050623
2,20050711
4,20050729
1,20050810
1,20050819
2,20050822
3,20050905
1,20050913
3,20050919
1,20050920
4,20051014
3,20051018
4,20051021
3,20051111
3,20051117
1,20051122
2,20051202
3,20051216
3,20051220
3,20051223
4,20051227
5,20051230
1,20060103
1,20060106
1,20060120
3,20060124
3,20060131
3,20060209
1,20060217
3,20060227
3,20060306
3,20060320
1,20060515
3,20060516
3,20060622
1,20060628
1,20060704
3,20060707
1,20060711
3,20060728
2,20060801
3,20060810
1,20060830
4,20060831
3,20060907
4,20060913
6,20060914
1,20060918
2,20060928
2,20061009
1,20061031
3,20061108
1,20061120
1,20061123
1,20061222
1,20061226
3,20070103
3,20070105
1,20070109
2,20070112
1,20070130
4,20070223
13,20070228
2,20070309
1,20070321
1,20070328
1,20070330
3,20070411
3,20070606
3,20070727
3,20070815
4,20071005
2,20071018
2,20071019
1,20071022
2,20071024
1,20071116
3,20071126
3,20071204
1,20071206
1,20071210
4,20071221
1,20071224
4,20071225
1,20071227
1,20071231
1,20080229
1,20080311
3,20080331
2,20080404
3,20080527
1,20080630
2,20080714
1,20080717
3,20080808
1,20080916
1,20080919
1,20081016
2,20081121
3,20081125
3,20081219
2,20090107
4,20090202
1,20090205
2,20090211
2,20090216
1,20090218
1,20090219
1,20090223
1,20090224
4,20090226
1,20090227
1,20090304
5,20090309
4,20090326
4,20090330
11,20090413
3,20090415
3,20090417
3,20090421
3,20090508
2,20090514
13,20090602
13,20090604
14,20090605
37,20090608
1,20090622
4,20090629
1,20090717
2,20090723
1,20090805
2,20090825
4,20090827
1,20090831
1,20090901
5,20090902
1,20091005
1,20091006
2,20091010
1,20091027
1,20091028
1,20091106
14,20091127
1,20091201
2,20091215
1,20091217
1,20091224
1,20091230
13,20100120
5,20100202
3,20100204
5,20100209
1,20100305
3,20100329
1,20100331
5,20100429
2,20100512
4,20100528
8,20100611
2,20100617
5,20100618
11,20100629
1,20100707
2,20100714
1,20100824
2,20100825
2,20100901
4,20100910
1,20100930
2,20101006
1,20101008
4,20101115
2,20101117
4,20101118
1,20101119
1,20101206
4,20101214
1,20101217
4,20101222
5,20101229
1,20110107
2,20110110
6,20110121
5,20110203
1,20110209
4,20110221
3,20110222
1,20110309
1,20110318
2,20110330
3,20110401
1,20110406
1,20110411
2,20110527
1,20110704
3,20110727
3,20110729
1,20110808
1,20110810
2,20111117
8,20111202
11,20111207
4,20111215
1,20111219
5,20111228
2,20120111
5,20120201
2,20120206
1,20120301
2,20120306
1,20120309
1,20120328
2,20120403
4,20120404
2,20120409
2,20120418
1,20120426
1,20120613
1,20120627
1,20120703
4,20120705
2,20120727
1,20120801
2,20120823
2,20120906
2,20121003
2,20121010
4,20121019
2,20121105
1,20121120
2,20121218
1,20121219
2,20130109
1,20130222
1,20130225
1,20130311
5,20130327
1,20130409
2,20130410
1,20130415
1,20130508
1,20130527
1,20130531
1,20130603
2,20130607
6,20130613
8,20130619
2,20130626
1,20130628
3,20130708
1,20130712
1,20130715
3,20130826
1,20130911
1,20130923
1,20131003
2,20131018
1,20131021
1,20131022
1,20131025
5,20131101
6,20140110
1,20140116
1,20140124
3,20140212
2,20140220
1,20140221
1,20140320
3,20140326
1,20140411
7,20140416
1,20140428
6,20140430
8,20140508
1,20140514
3,20140516
2,20140522
10,20140523
1,20140606
5,20140619
3,20140707
1,20140708
1,20140714
3,20140718
1,20140801
3,20140806
3,20140815
3,20140919
3,20140925
3,20140929
3,20141007
3,20141017
3,20141022
2,20141023
3,20141024
3,20141113
1,20141117
2,20141118
2,20141127
1,20141205
4,20141211
4,20141219
1,20141222
10,20141223
1,20141231
4,20150116
1,20150225
1,20150226
1,20150309
2,20150310
2,20150311
4,20150326
1,20150407
2,20150414
3,20150415
3,20150417
1,20150422
4,20150507
2,20150511
4,20150522
2,20150526
3,20150528
4,20150611
5,20150612
1,20150702
2,20150710
2,20150713
1,20150715
3,20150723
1,20150728
4,20150814
4,20150818
2,20150907
5,20150908
1,20150916
4,20150917
3,20151006
7,20151008
2,20151021
2,20151104
1,20151109
2,20151111
1,20151113
3,20151223
3,20160105
4,20160106
3,20160111
6,20160119
3,20160122
5,20160201
1,20160219
4,20160225
2,20160301
6,20160308
5,20160314
1,20160401
1,20160405
1,20160414
3,20160415
5,20160422
3,20160502
9,20160505
10,20160517
1,20160518
2,20160523
1,20160526
2,20160531
7,20160601
10,20160615
5,20160622
5,20160623
2,20160624
2,20160627
1,20160701
1,20160705
6,20160706
4,20160713
9,20160720
3,20160721
1,20160722
1,20160728
5,20160802
1,20160803
4,20160805
5,20160809
7,20160818
6,20160819
7,20160823
13,20160831
3,20160906
2,20160909
4,20160914
1,20160915
8,20160920
5,20160928
4,20160929
1,20160930
4,20161012
5,20161013
2,20161018
4,20161019
1,20161101
1,20161114
1,20161116
2,20161122
1,20161124
2,20161130
2,20161201
5,20161206
6,20161212
1,20161219
3,20161221
2,20161222
3,20170102
4,20170111
2,20170113
5,20170125
8,20170126
4,20170131
3,20170209
7,20170215
1,20170220
6,20170302
3,20170306
7,20170307
4,20170308
2,20170310
12,20170314
4,20170316
3,20170322
12,20170330
4,20170410
13,20170411
15,20170412
5,20170418
2,20170419
7,20170425
2,20170505
9,20170509
10,20170523
7,20170613
1,20170619
